question_id,article,paragraph,title,difficulty,family,selection_task,statement,option_a,option_b,option_c,option_d,correct_option,explanation,source_excerpt,pattern,option_length_gap,quality_score,quality_flags,verification_status,review_status,source_version,source_url,source_retrieved_at,editorial_audit_version,editorial_audit_date,editorial_audit_status,editorial_changes,editorial_blockers
CE-TV-108-011,108,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,verdadera_falsa_en_artículo,seleccionar_incorrecta,"Según el artículo 108 de la Constitución Española, señale la afirmación INCORRECTA:",El Gobierno responde solidariamente en su gestión política.,La responsabilidad solidaria del Gobierno se refiere a su gestión política.,El Gobierno responde solidariamente ante las Cortes Generales reunidas en sesión conjunta.,El Gobierno responde ante el Congreso de los Diputados.,C,La opción incorrecta altera la regla «ante el Congreso de los Diputados».,ante el Congreso de los Diputados,tres_reglas_válidas_y_una_alterada,5,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS_REPAIRED,afirmación_completa_y_paralela,
CE-TV-108-012,108,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,localización_normativa,seleccionar_correcta,¿En qué artículo de la Constitución Española se establece que el Gobierno responde ante el Congreso de los Diputados.,Artículo 109.,Artículo 110.,Artículo 111.,Artículo 108.,D,La regla pertenece al artículo 108.,ante el Congreso de los Diputados,localización_de_precepto,0,99,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TV-109-013,109,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,2,sujeto_órgano,seleccionar_correcta,"Según el artículo 109 de la Constitución Española, ¿quiénes pueden recabar la información y ayuda previstas en el artículo 109?",Las Cámaras y sus Comisiones.,Solo el Congreso de los Diputados.,Los Grupos Parlamentarios.,Las Mesas de las Cámaras exclusivamente.,A,El artículo 109 establece: «Las Cámaras y sus Comisiones podrán recabar».,Las Cámaras y sus Comisiones podrán recabar,pregunta_directa_con_sustitución_controlada,3,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS_REPAIRED,minúscula_interrogativa_interna,
CE-TV-109-014,109,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,literal_con_hueco,seleccionar_correcta,La facultad de recabar información y ayuda corresponde a:,Las Mesas de las Cámaras exclusivamente.,Las Cámaras y sus Comisiones.,Los Grupos Parlamentarios.,Solo el Congreso de los Diputados.,B,La formulación correcta se apoya en: «Las Cámaras y sus Comisiones podrán recabar».,Las Cámaras y sus Comisiones podrán recabar,recuperación_literal_o_paramétrica,3,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TV-109-015,109,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,verdadera_falsa_en_artículo,seleccionar_incorrecta,"Según el artículo 109 de la Constitución Española, señale la afirmación INCORRECTA:",La información y ayuda se recaban a través de los Presidentes de las Cámaras.,Las Cámaras y sus Comisiones pueden recabar la información y ayuda que precisen.,Solo el Congreso de los Diputados puede recabar la información y ayuda previstas en el artículo 109.,"La información puede recabarse del Gobierno, de sus Departamentos y de autoridades estatales y autonómicas.",C,La opción incorrecta altera la regla «Las Cámaras y sus Comisiones podrán recabar».,Las Cámaras y sus Comisiones podrán recabar,tres_reglas_válidas_y_una_alterada,9,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS_REPAIRED,afirmación_completa_y_paralela,
CE-TV-109-016,109,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,localización_normativa,seleccionar_correcta,¿En qué artículo de la Constitución Española se establece que las Cámaras y sus Comisiones pueden recabar información y ayuda.,Artículo 108.,Artículo 110.,Artículo 111.,Artículo 109.,D,La regla pertenece al artículo 109.,Las Cámaras y sus Comisiones podrán recabar,localización_de_precepto,0,99,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TV-109-017,109,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,procedimiento_o_forma,seleccionar_correcta,"Según el artículo 109 de la Constitución Española, ¿a través de quién se recaba la información y ayuda del artículo 109?",Los Presidentes de las Cámaras.,Las Mesas de las Cámaras.,Los Portavoces de los Grupos Parlamentarios.,El Presidente del Gobierno.,A,El artículo 109 establece: «a través de los Presidentes de aquéllas».,a través de los Presidentes de aquéllas,pregunta_directa_con_sustitución_controlada,2,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS_REPAIRED,minúscula_interrogativa_interna,
CE-TV-109-018,109,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,literal_con_hueco,seleccionar_correcta,Complete el artículo 109: «...a través de...»,El Presidente del Gobierno.,Los Presidentes de las Cámaras.,Los Portavoces de los Grupos Parlamentarios.,Las Mesas de las Cámaras.,B,La formulación correcta se apoya en: «a través de los Presidentes de aquéllas».,a través de los Presidentes de aquéllas,recuperación_literal_o_paramétrica,2,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TV-109-019,109,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,verdadera_falsa_en_artículo,seleccionar_incorrecta,"Según el artículo 109 de la Constitución Española, señale la afirmación INCORRECTA:",Las Cámaras y sus Comisiones pueden recabar la información y ayuda que precisen.,"La información puede recabarse del Gobierno, de sus Departamentos y de autoridades estatales y autonómicas.",La información y ayuda se recaban a través de las Mesas de las Cámaras.,Las Cámaras y sus Comisiones pueden recabar información y ayuda.,C,La opción incorrecta altera la regla «a través de los Presidentes de aquéllas».,a través de los Presidentes de aquéllas,tres_reglas_válidas_y_una_alterada,10,98,brecha_longitud_media,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS_REPAIRED,afirmación_completa_y_paralela,
CE-TV-109-020,109,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,localización_normativa,seleccionar_correcta,¿En qué artículo de la Constitución Española se establece que la información y ayuda se recaban a través de los Presidentes de las Cámaras.,Artículo 108.,Artículo 110.,Artículo 111.,Artículo 109.,D,La regla pertenece al artículo 109.,a través de los Presidentes de aquéllas,localización_de_precepto,0,99,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TV-109-021,109,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,2,función_competencia,seleccionar_correcta,"Según el artículo 109 de la Constitución Española, ¿qué pueden recabar las Cámaras y sus Comisiones conforme al artículo 109?",La información y ayuda que precisen.,Solo documentación escrita.,Informes jurídicos vinculantes.,La comparecencia obligatoria de cualquier ciudadano.,A,El artículo 109 establece: «la información y ayuda que precisen».,la información y ayuda que precisen,pregunta_directa_con_sustitución_controlada,3,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS_REPAIRED,minúscula_interrogativa_interna,
CE-TV-109-022,109,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,literal_con_hueco,seleccionar_correcta,El objeto de la facultad reconocida en el artículo 109 es:,La comparecencia obligatoria de cualquier ciudadano.,La información y ayuda que precisen.,Informes jurídicos vinculantes.,Solo documentación escrita.,B,La formulación correcta se apoya en: «la información y ayuda que precisen».,la información y ayuda que precisen,recuperación_literal_o_paramétrica,3,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TV-109-023,109,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,verdadera_falsa_en_artículo,seleccionar_incorrecta,"Según el artículo 109 de la Constitución Española, señale la afirmación INCORRECTA:","La información puede recabarse del Gobierno, de sus Departamentos y de autoridades estatales y autonómicas.",Las Cámaras y sus Comisiones pueden recabar información y ayuda.,Las Cámaras y sus Comisiones solo pueden recabar documentación escrita.,La información y ayuda se recaban a través de los Presidentes de las Cámaras.,C,La opción incorrecta altera la regla «la información y ayuda que precisen».,la información y ayuda que precisen,tres_reglas_válidas_y_una_alterada,12,98,brecha_longitud_media,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS_REPAIRED,afirmación_completa_y_paralela,
CE-TV-109-024,109,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,localización_normativa,seleccionar_correcta,¿En qué artículo de la Constitución Española se establece que las Cámaras y sus Comisiones pueden recabar la información y ayuda que precisen.,Artículo 108.,Artículo 110.,Artículo 111.,Artículo 109.,D,La regla pertenece al artículo 109.,la información y ayuda que precisen,localización_de_precepto,0,99,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TV-109-025,109,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,pertenencia_lista,seleccionar_correcta,"Según el artículo 109 de la Constitución Española, ¿de quién puede recabarse la información y ayuda prevista en el artículo 109?","El Gobierno, sus Departamentos y autoridades del Estado y de las Comunidades Autónomas.",Únicamente el Gobierno y la Administración General del Estado.,Solo las autoridades de las Comunidades Autónomas.,Los órganos judiciales y cualquier persona física.,A,El artículo 109 establece: «del Gobierno y de sus Departamentos y de cualesquiera autoridades del Estado y de las Comunidades Autónomas».,del Gobierno y de sus Departamentos y de cualesquiera autoridades del Estado y de las Comunidades Autónomas,pregunta_directa_con_sustitución_controlada,6,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS_REPAIRED,minúscula_interrogativa_interna,
CE-TV-109-026,109,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,literal_con_hueco,seleccionar_correcta,Entre los sujetos a los que puede dirigirse la petición del artículo 109 se encuentran:,Los órganos judiciales y cualquier persona física.,"El Gobierno, sus Departamentos y autoridades del Estado y de las Comunidades Autónomas.",Solo las autoridades de las Comunidades Autónomas.,Únicamente el Gobierno y la Administración General del Estado.,B,La formulación correcta se apoya en: «del Gobierno y de sus Departamentos y de cualesquiera autoridades del Estado y de las Comunidades Autónomas».,del Gobierno y de sus Departamentos y de cualesquiera autoridades del Estado y de las Comunidades Autónomas,recuperación_literal_o_paramétrica,6,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TV-109-027,109,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,verdadera_falsa_en_artículo,seleccionar_incorrecta,"Según el artículo 109 de la Constitución Española, señale la afirmación INCORRECTA:",Las Cámaras y sus Comisiones pueden recabar información y ayuda.,La información y ayuda se recaban a través de los Presidentes de las Cámaras.,La información y ayuda solo pueden recabarse del Gobierno y de la Administración General del Estado.,Las Cámaras y sus Comisiones pueden recabar la información y ayuda que precisen.,C,La opción incorrecta altera la regla «del Gobierno y de sus Departamentos y de cualesquiera autoridades del Estado y de las Comunidades Autónomas».,del Gobierno y de sus Departamentos y de cualesquiera autoridades del Estado y de las Comunidades Autónomas,tres_reglas_válidas_y_una_alterada,5,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS_REPAIRED,afirmación_completa_y_paralela,
CE-TV-109-028,109,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,localización_normativa,seleccionar_correcta,"¿En qué artículo de la Constitución Española se establece que la información puede recabarse del Gobierno, de sus Departamentos y de autoridades estatales y autonómicas.",Artículo 108.,Artículo 110.,Artículo 111.,Artículo 109.,D,La regla pertenece al artículo 109.,del Gobierno y de sus Departamentos y de cualesquiera autoridades del Estado y de las Comunidades Autónomas,localización_de_precepto,0,99,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TV-110-029,110,1,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,2,función_competencia,seleccionar_correcta,"Según el artículo 110 de la Constitución Española, ¿qué pueden reclamar las Cámaras y sus Comisiones?",La presencia de los miembros del Gobierno.,La presencia de los miembros del Tribunal Constitucional.,La comparecencia del Rey.,La asistencia de cualquier autoridad judicial.,A,El artículo 110 establece: «reclamar la presencia de los miembros del Gobierno».,reclamar la presencia de los miembros del Gobierno,pregunta_directa_con_sustitución_controlada,4,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS_REPAIRED,minúscula_interrogativa_interna,
CE-TV-110-030,110,1,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,literal_con_hueco,seleccionar_correcta,Complete el artículo 110.1: «Las Cámaras y sus Comisiones pueden reclamar...»,La asistencia de cualquier autoridad judicial.,La presencia de los miembros del Gobierno.,La comparecencia del Rey.,La presencia de los miembros del Tribunal Constitucional.,B,La formulación correcta se apoya en: «reclamar la presencia de los miembros del Gobierno».,reclamar la presencia de los miembros del Gobierno,recuperación_literal_o_paramétrica,4,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TV-110-031,110,1,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,verdadera_falsa_en_artículo,seleccionar_incorrecta,"Según el artículo 110 de la Constitución Española, señale la afirmación INCORRECTA:",La presencia de los miembros del Gobierno puede ser reclamada por las Cámaras y sus Comisiones.,Los miembros del Gobierno tienen acceso a las sesiones de las Cámaras y de sus Comisiones.,Las Cámaras y sus Comisiones pueden reclamar la presencia de los miembros del Tribunal Constitucional.,Los miembros del Gobierno tienen la facultad de hacerse oír en las Cámaras y sus Comisiones.,C,La opción incorrecta altera la regla «reclamar la presencia de los miembros del Gobierno».,reclamar la presencia de los miembros del Gobierno,tres_reglas_válidas_y_una_alterada,8,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS_REPAIRED,afirmación_completa_y_paralela,
CE-TV-110-032,110,1,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,localización_normativa,seleccionar_correcta,¿En qué artículo de la Constitución Española se establece que las Cámaras y sus Comisiones pueden reclamar la presencia de los miembros del Gobierno.,Artículo 108.,Artículo 109.,Artículo 111.,Artículo 110.,D,La regla pertenece al artículo 110.,reclamar la presencia de los miembros del Gobierno,localización_de_precepto,0,99,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TV-110-033,110,1,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,2,sujeto_órgano,seleccionar_correcta,"Según el artículo 110 de la Constitución Española, ¿quién puede reclamar la presencia de los miembros del Gobierno?",Las Cámaras y sus Comisiones.,Exclusivamente el Congreso.,Las Mesas de ambas Cámaras.,Los Grupos Parlamentarios.,A,El artículo 110 establece: «Las Cámaras y sus Comisiones pueden reclamar».,Las Cámaras y sus Comisiones pueden reclamar,pregunta_directa_con_sustitución_controlada,2,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS_REPAIRED,minúscula_interrogativa_interna,
CE-TV-110-034,110,1,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,literal_con_hueco,seleccionar_correcta,La facultad prevista en el artículo 110.1 corresponde a:,Los Grupos Parlamentarios.,Las Cámaras y sus Comisiones.,Las Mesas de ambas Cámaras.,Exclusivamente el Congreso.,B,La formulación correcta se apoya en: «Las Cámaras y sus Comisiones pueden reclamar».,Las Cámaras y sus Comisiones pueden reclamar,recuperación_literal_o_paramétrica,2,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TV-110-035,110,1,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,verdadera_falsa_en_artículo,seleccionar_incorrecta,"Según el artículo 110 de la Constitución Española, señale la afirmación INCORRECTA:",Los miembros del Gobierno tienen acceso a las sesiones de las Cámaras y de sus Comisiones.,Los miembros del Gobierno tienen la facultad de hacerse oír en las Cámaras y sus Comisiones.,Exclusivamente el Congreso puede reclamar la presencia de los miembros del Gobierno.,Los miembros del Gobierno pueden solicitar que informen funcionarios de sus Departamentos.,C,La opción incorrecta altera la regla «Las Cámaras y sus Comisiones pueden reclamar».,Las Cámaras y sus Comisiones pueden reclamar,tres_reglas_válidas_y_una_alterada,13,98,brecha_longitud_media,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS_REPAIRED,afirmación_completa_y_paralela,
CE-TV-110-036,110,1,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,localización_normativa,seleccionar_correcta,¿En qué artículo de la Constitución Española se establece que la presencia de los miembros del Gobierno puede ser reclamada por las Cámaras y sus Comisiones.,Artículo 108.,Artículo 109.,Artículo 111.,Artículo 110.,D,La regla pertenece al artículo 110.,Las Cámaras y sus Comisiones pueden reclamar,localización_de_precepto,0,99,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
