question_id,article,paragraph,chapter,difficulty,family,selection_task,statement,option_a,option_b,option_c,option_d,correct_option,explanation,source_excerpt,pattern,option_length_gap,quality_score,quality_flags,verification_status,review_status,source_version,source_url,source_retrieved_at,editorial_audit_version,editorial_audit_date,editorial_audit_status,editorial_changes,editorial_blockers
CE-TI-11-001,11,1,Capítulo primero: De los españoles y los extranjeros,2,verdadera_falsa_en_artículo,seleccionar_correcta,"Según el tenor literal del artículo 11 de la Constitución Española, ¿cuál de las siguientes formulaciones se ajusta al apartado 1?","La nacionalidad española se adquiere, se conserva y se pierde de acuerdo con lo establecido por el reglamento.","La nacionalidad española se adquiere, se conserva y se pierde de acuerdo con lo establecido por una ley orgánica.","La nacionalidad española se adquiere, se conserva y se pierde de acuerdo con lo establecido por la ley.","La nacionalidad española se adquiere, se conserva y se pierde de acuerdo con lo establecido por el Gobierno.",C,La opción correcta reproduce un fragmento del apartado 1 del artículo 11.,"La nacionalidad española se adquiere, se conserva y se pierde de acuerdo con lo establecido por la ley.",sustitución del instrumento o reserva legal,1,97,,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TI-11-002,11,1,Capítulo primero: De los españoles y los extranjeros,2,localización_normativa,seleccionar_correcta,"¿En qué artículo del Título I se contiene la regla según la cual «La nacionalidad española se adquiere, se conserva y se pierde de acuerdo con lo establecido por la ley.»?",Artículo 12,Artículo 10,Artículo 13,Artículo 11,D,El fragmento pertenece al artículo 11 de la Constitución Española.,"La nacionalidad española se adquiere, se conserva y se pierde de acuerdo con lo establecido por la ley.",localización de un fragmento normativo,0,96,,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TI-11-003,11,2,Capítulo primero: De los españoles y los extranjeros,2,verdadera_falsa_en_artículo,seleccionar_correcta,"Según el tenor literal del artículo 11 de la Constitución Española, ¿cuál de las siguientes formulaciones se ajusta al apartado 2?",Ningún español de origen podrá ser privado de su nacionalidad.,Ningún español de origen deberá ser privado de su nacionalidad.,Ningún español de origen no podrá ser privado de su nacionalidad.,Ningún español de origen podrá únicamente ser privado de su nacionalidad.,A,La opción correcta reproduce un fragmento del apartado 2 del artículo 11.,Ningún español de origen podrá ser privado de su nacionalidad.,sustitución de un elemento jurídico decisivo,1,97,,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TI-11-004,11,2,Capítulo primero: De los españoles y los extranjeros,2,localización_normativa,seleccionar_correcta,¿En qué artículo del Título I se contiene la regla según la cual «Ningún español de origen podrá ser privado de su nacionalidad.»?,Artículo 12,Artículo 11,Artículo 10,Artículo 13,B,El fragmento pertenece al artículo 11 de la Constitución Española.,Ningún español de origen podrá ser privado de su nacionalidad.,localización de un fragmento normativo,0,96,,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TI-11-005,11,3,Capítulo primero: De los españoles y los extranjeros,4,verdadera_falsa_en_artículo,seleccionar_correcta,"Según el tenor literal del artículo 11 de la Constitución Española, ¿cuál de las siguientes formulaciones se ajusta al apartado 3?","El Estado podrá concertar tratados de doble nacionalidad con los países iberoamericanos o con aquellos que hayan tenido o tengan una particular vinculación con España. En estos mismos países, aun cuando no reconozcan a sus ciudadanos un derecho recíproco, podrán naturalizarse los ciudadanos sin perder su nacionalidad de origen.","El Estado podrá concertar tratados de doble nacionalidad con los países iberoamericanos o con aquellos que hayan tenido o tengan una particular vinculación con España. En estos mismos países, aun cuando no reconozcan a sus ciudadanos un derecho recíproco, podrán naturalizarse los extranjeros sin perder su nacionalidad de origen.","El Estado podrá concertar tratados de doble nacionalidad con los países iberoamericanos o con aquellos que hayan tenido o tengan una particular vinculación con España. En estos mismos países, aun cuando no reconozcan a sus ciudadanos un derecho recíproco, podrán naturalizarse los españoles sin perder su nacionalidad de origen.","El Estado podrá concertar tratados de doble nacionalidad con los países iberoamericanos o con aquellos que hayan tenido o tengan una particular vinculación con España. En estos mismos países, aun cuando no reconozcan a sus ciudadanos un derecho recíproco, podrán naturalizarse los residentes sin perder su nacionalidad de origen.",C,La opción correcta reproduce un fragmento del apartado 3 del artículo 11.,"El Estado podrá concertar tratados de doble nacionalidad con los países iberoamericanos o con aquellos que hayan tenido o tengan una particular vinculación con España. En estos mismos países, aun cuando no reconozcan a sus ciudadanos un derecho recíproco, podrán naturalizarse los españoles sin perder su nacionalidad de origen.","sustitución de sujeto, órgano o función",0,97,,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TI-11-006,11,3,Capítulo primero: De los españoles y los extranjeros,2,localización_normativa,seleccionar_correcta,¿En qué artículo del Título I se contiene la regla según la cual «El Estado podrá concertar tratados de doble nacionalidad con los países iberoamericanos o con aquellos que hayan tenido…»?,Artículo 12,Artículo 10,Artículo 13,Artículo 11,D,El fragmento pertenece al artículo 11 de la Constitución Española.,El Estado podrá concertar tratados de doble nacionalidad con los países iberoamericanos o con aquellos que hayan tenido…,localización de un fragmento normativo,0,96,,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TI-11-007,11,,Capítulo primero: De los españoles y los extranjeros,2,verdadera_falsa_en_artículo,seleccionar_correcta,¿Cuál de las siguientes opciones reproduce correctamente un fragmento del artículo 11 de la Constitución Española?,"La nacionalidad española se adquiere, se conserva y se pierde de acuerdo con lo establecido por la ley.","La nacionalidad española se adquiere, se conserva y se pierde de acuerdo con lo establecido por el reglamento.","La nacionalidad española se adquiere, se conserva y se pierde de acuerdo con lo establecido por una ley orgánica.","La nacionalidad española se adquiere, se conserva y se pierde de acuerdo con lo establecido por el Gobierno.",A,La opción correcta coincide con el texto del artículo 11; las restantes alteran un elemento jurídico relevante.,"La nacionalidad española se adquiere, se conserva y se pierde de acuerdo con lo establecido por la ley.",sustitución del instrumento o reserva legal,1,97,,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TI-11-008,11,,Capítulo primero: De los españoles y los extranjeros,3,literal_con_hueco,seleccionar_correcta,¿Cuál de las siguientes expresiones aparece en el tenor literal del artículo 11 de la Constitución Española?,se conserva y se pierde de acuerdo con lo establecido por el reglamento,se conserva y se pierde de acuerdo con lo establecido por la ley,se conserva y se pierde de acuerdo con lo establecido por una ley orgánica,se conserva y se pierde de acuerdo con lo establecido por el Gobierno,B,«se conserva y se pierde de acuerdo con lo establecido por la ley» es la expresión empleada por el artículo 11.,"La nacionalidad española se adquiere, se conserva y se pierde de acuerdo con lo establecido por la ley.",sustitución de una expresión literal,1,97,,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TI-11-009,11,,Capítulo primero: De los españoles y los extranjeros,2,verdadera_falsa_en_artículo,seleccionar_correcta,¿Cuál de las siguientes opciones reproduce correctamente un fragmento del artículo 11 de la Constitución Española?,Ningún español de origen deberá ser privado de su nacionalidad.,Ningún español de origen no podrá ser privado de su nacionalidad.,Ningún español de origen podrá ser privado de su nacionalidad.,Ningún español de origen podrá únicamente ser privado de su nacionalidad.,C,La opción correcta coincide con el texto del artículo 11; las restantes alteran un elemento jurídico relevante.,Ningún español de origen podrá ser privado de su nacionalidad.,sustitución de un elemento jurídico decisivo,1,97,,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TI-11-010,11,,Capítulo primero: De los españoles y los extranjeros,3,pertenencia_lista,seleccionar_incorrecta,¿Cuál de las siguientes expresiones NO aparece expresamente en el artículo 11 de la Constitución Española?,Ningún español de origen podrá ser privado de su nacionalidad,En estos mismos países,aun cuando no reconozcan a sus ciudadanos un derecho recíproco,Ningún español de origen deberá ser privado de su nacionalidad,D,La expresión señalada no aparece en el artículo 11; las otras tres sí proceden de su tenor literal.,Ningún español de origen podrá ser privado de su nacionalidad; En estos mismos países; aun cuando no reconozcan a sus ciudadanos un derecho recíproco,contaminación de una lista de expresiones literales,6,97,,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TI-11-011,11,,Capítulo primero: De los españoles y los extranjeros,3,verdadera_falsa_en_artículo,seleccionar_correcta,¿Cuál de las siguientes opciones reproduce correctamente un fragmento del artículo 11 de la Constitución Española?,El Estado podrá concertar tratados de doble nacionalidad con los países iberoamericanos o con aquellos que hayan tenido o tengan una particular vinculación con España.,El Gobierno podrá concertar tratados de doble nacionalidad con los países iberoamericanos o con aquellos que hayan tenido o tengan una particular vinculación con España.,Las Cortes Generales podrá concertar tratados de doble nacionalidad con los países iberoamericanos o con aquellos que hayan tenido o tengan una particular vinculación con España.,La Administración podrá concertar tratados de doble nacionalidad con los países iberoamericanos o con aquellos que hayan tenido o tengan una particular vinculación con España.,A,La opción correcta coincide con el texto del artículo 11; las restantes alteran un elemento jurídico relevante.,El Estado podrá concertar tratados de doble nacionalidad con los países iberoamericanos o con aquellos que hayan tenido o tengan una particular vinculación con España.,"sustitución de sujeto, órgano o función",1,97,,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TI-11-012,11,,Capítulo primero: De los españoles y los extranjeros,2,literal_con_hueco,seleccionar_correcta,¿Cuál de las siguientes expresiones aparece en el tenor literal del artículo 11 de la Constitución Española?,que hayan tenido y tengan una particular vinculación con España,que hayan tenido o tengan una particular vinculación con España,"que hayan tenido o tengan una particular vinculación con España, previa autorización judicial.","que hayan tenido o tengan una particular vinculación con España, salvo disposición legal en contrario.",B,«que hayan tenido o tengan una particular vinculación con España» es la expresión empleada por el artículo 11.,El Estado podrá concertar tratados de doble nacionalidad con los países iberoamericanos o con aquellos que hayan tenido o tengan una particular vinculación con España.,sustitución de una expresión literal,5,95,distractor_genérico,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TI-11-013,11,,Capítulo primero: De los españoles y los extranjeros,3,verdadera_falsa_en_artículo,seleccionar_correcta,¿Cuál de las siguientes opciones reproduce correctamente un fragmento del artículo 11 de la Constitución Española?,"En estos mismos países, aun cuando no reconozcan a sus ciudadanos un derecho recíproco, podrán naturalizarse los ciudadanos sin perder su nacionalidad de origen.","En estos mismos países, aun cuando no reconozcan a sus ciudadanos un derecho recíproco, podrán naturalizarse los extranjeros sin perder su nacionalidad de origen.","En estos mismos países, aun cuando no reconozcan a sus ciudadanos un derecho recíproco, podrán naturalizarse los españoles sin perder su nacionalidad de origen.","En estos mismos países, aun cuando no reconozcan a sus ciudadanos un derecho recíproco, podrán naturalizarse los residentes sin perder su nacionalidad de origen.",C,La opción correcta coincide con el texto del artículo 11; las restantes alteran un elemento jurídico relevante.,"En estos mismos países, aun cuando no reconozcan a sus ciudadanos un derecho recíproco, podrán naturalizarse los españoles sin perder su nacionalidad de origen.",sustitución de un elemento jurídico decisivo,0,97,,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TI-11-014,11,,Capítulo primero: De los españoles y los extranjeros,2,literal_con_hueco,seleccionar_correcta,¿Cuál de las siguientes expresiones aparece en el tenor literal del artículo 11 de la Constitución Española?,aun cuando reconozcan a sus ciudadanos un derecho recíproco,"aun cuando no reconozcan a sus ciudadanos un derecho recíproco, previa autorización judicial.","aun cuando no reconozcan a sus ciudadanos un derecho recíproco, salvo disposición legal en contrario.",aun cuando no reconozcan a sus ciudadanos un derecho recíproco,D,«aun cuando no reconozcan a sus ciudadanos un derecho recíproco» es la expresión empleada por el artículo 11.,"En estos mismos países, aun cuando no reconozcan a sus ciudadanos un derecho recíproco, podrán naturalizarse los españoles sin perder su nacionalidad de origen.",sustitución de una expresión literal,6,95,distractor_genérico,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TI-11-015,11,,Capítulo primero: De los españoles y los extranjeros,1,localización_normativa,seleccionar_correcta,¿En qué parte del Título I se encuentra el artículo 11 de la Constitución Española?,Capítulo primero: De los españoles y los extranjeros,Capítulo cuarto: De las garantías de las libertades y derechos fundamentales,Capítulo segundo: Derechos y libertades (fuera de sus secciones),Capítulo tercero: De los principios rectores de la política social y económica,A,El artículo 11 se encuentra en «Capítulo primero: De los españoles y los extranjeros».,Capítulo primero: De los españoles y los extranjeros,localización sistemática dentro del Título I,4,96,,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TI-11-016,11,,Capítulo primero: De los españoles y los extranjeros,3,pertenencia_lista,seleccionar_incorrecta,"Atendiendo al tenor literal del artículo 11, señale la expresión que NO pertenece a su contenido:",La nacionalidad española se adquiere,se conserva y se pierde de acuerdo con lo establecido por el reglamento,Ningún español de origen podrá ser privado de su nacionalidad,En estos mismos países,B,La expresión incorrecta no forma parte del artículo 11; las restantes son fragmentos de su texto.,La nacionalidad española se adquiere; Ningún español de origen podrá ser privado de su nacionalidad; En estos mismos países,tres elementos literales y uno ajeno,9,94,posible_pista_de_longitud,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TI-12-001,12,1,Capítulo primero: De los españoles y los extranjeros,2,verdadera_falsa_en_artículo,seleccionar_correcta,"Según el tenor literal del artículo 12 de la Constitución Española, ¿cuál de las siguientes formulaciones se ajusta al apartado 1?",Los españoles son mayores de edad a los dieciséis años.,Los españoles son mayores de edad a los veintiún años.,Los españoles son mayores de edad a los dieciocho años.,Los españoles son mayores de edad a los veinticinco años.,C,La opción correcta reproduce un fragmento del apartado 1 del artículo 12.,Los españoles son mayores de edad a los dieciocho años.,alteración cuantitativa o de referencia,0,97,,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TI-12-002,12,1,Capítulo primero: De los españoles y los extranjeros,2,localización_normativa,seleccionar_correcta,¿En qué artículo del Título I se contiene la regla según la cual «Los españoles son mayores de edad a los dieciocho años.»?,Artículo 13,Artículo 11,Artículo 14,Artículo 12,D,El fragmento pertenece al artículo 12 de la Constitución Española.,Los españoles son mayores de edad a los dieciocho años.,localización de un fragmento normativo,0,96,,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
