question_id,article,difficulty,family,selection_task,statement,option_a,option_b,option_c,option_d,correct_option,explanation,source_excerpt,pattern,verification_status,source_url,source_retrieved_at,editorial_audit_version,editorial_audit_date,editorial_audit_status,editorial_changes,editorial_blockers
CE-1-9-012,1,2,literal_con_hueco,seleccionar_correcta,"Complete el artículo 1.2: «..., del que emanan...»",Los órganos de soberanía.,Los poderes públicos.,Las instituciones constitucionales.,Los poderes del Estado.,D,El texto dice «los poderes del Estado».,"España se constituye en un Estado social y democrático de Derecho... libertad, justicia, igualdad y pluralismo político; la soberanía nacional reside en el pueblo español; la forma política es la Monarquía parlamentaria.",literal_con_hueco,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-013,1,2,literal_con_hueco,seleccionar_correcta,Complete el artículo 1.3: «La forma política del Estado español es...»,La Monarquía parlamentaria.,La Monarquía democrática.,La Monarquía constitucional.,La democracia representativa.,A,Completa literalmente el apartado.,"España se constituye en un Estado social y democrático de Derecho... libertad, justicia, igualdad y pluralismo político; la soberanía nacional reside en el pueblo español; la forma política es la Monarquía parlamentaria.",literal_con_hueco,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-014,1,3,localización_normativa,seleccionar_correcta,¿En qué artículo se declara que la soberanía nacional reside en el pueblo español?,En el artículo 2.,En el artículo 1.,En el artículo 6.,En el artículo 9.,B,La regla aparece en el artículo 1.2.,"España se constituye en un Estado social y democrático de Derecho... libertad, justicia, igualdad y pluralismo político; la soberanía nacional reside en el pueblo español; la forma política es la Monarquía parlamentaria.",localización_normativa,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-015,1,3,permutación_relacional,seleccionar_correcta,¿Qué relación entre concepto y contenido es correcta según el artículo 1?,Forma política — Estado social y democrático.,Valores superiores — soberanía nacional.,Soberanía nacional — pueblo español.,Poderes del Estado — Cortes Generales.,C,La soberanía nacional se atribuye al pueblo español.,"España se constituye en un Estado social y democrático de Derecho... libertad, justicia, igualdad y pluralismo político; la soberanía nacional reside en el pueblo español; la forma política es la Monarquía parlamentaria.",permutación_relacional,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-016,1,3,verdadera_falsa_en_artículo,seleccionar_correcta,Señale la afirmación correcta conforme al artículo 1:,Los poderes públicos emanan de las Cortes Generales.,La soberanía reside en los órganos constitucionales.,La forma política es la Monarquía democrática.,Los poderes del Estado emanan del pueblo español.,D,Es la formulación del artículo 1.2.,"España se constituye en un Estado social y democrático de Derecho... libertad, justicia, igualdad y pluralismo político; la soberanía nacional reside en el pueblo español; la forma política es la Monarquía parlamentaria.",verdadera_falsa_en_artículo,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-017,1,2,pertenencia_lista,seleccionar_incorrecta,¿Qué término NO aparece en la caracterización del Estado del artículo 1.1?,Federal.,Social.,Democrático.,De Derecho.,A,El artículo no califica al Estado como federal.,"España se constituye en un Estado social y democrático de Derecho... libertad, justicia, igualdad y pluralismo político; la soberanía nacional reside en el pueblo español; la forma política es la Monarquía parlamentaria.",pertenencia_lista,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-018,1,3,pertenencia_lista,seleccionar_correcta,¿Cuál de las siguientes parejas contiene únicamente valores superiores del artículo 1.1?,Seguridad y solidaridad.,Justicia e igualdad.,Legalidad y jerarquía.,Soberanía y participación.,B,Ambos términos aparecen en la enumeración.,"España se constituye en un Estado social y democrático de Derecho... libertad, justicia, igualdad y pluralismo político; la soberanía nacional reside en el pueblo español; la forma política es la Monarquía parlamentaria.",pertenencia_lista,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-019,1,3,verdadera_falsa_en_artículo,seleccionar_incorrecta,"Según el artículo 1.2, ¿cuál de estas afirmaciones es INCORRECTA porque altera el sujeto de la soberanía nacional?",La soberanía nacional reside en el pueblo español.,Los poderes del Estado emanan del pueblo español.,La soberanía nacional reside en las Cortes Generales.,España se constituye en un Estado social y democrático de Derecho.,C,El titular constitucional es el pueblo español.,"España se constituye en un Estado social y democrático de Derecho... libertad, justicia, igualdad y pluralismo político; la soberanía nacional reside en el pueblo español; la forma política es la Monarquía parlamentaria.",verdadera_falsa_en_artículo,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-020,1,4,discriminación_multirregla,seleccionar_correcta,¿Cuál de las siguientes opciones reúne correctamente los tres apartados del artículo 1?,Estado social y autonómico; soberanía en las Cortes; Monarquía constitucional.,Estado democrático de Derecho; soberanía en la Nación; República parlamentaria.,Estado social y federal; soberanía en los ciudadanos; democracia representativa.,Estado social y democrático de Derecho; soberanía en el pueblo español; Monarquía parlamentaria.,D,"Integra correctamente tipo de Estado, soberanía y forma política.","España se constituye en un Estado social y democrático de Derecho... libertad, justicia, igualdad y pluralismo político; la soberanía nacional reside en el pueblo español; la forma política es la Monarquía parlamentaria.",discriminación_multirregla,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-021,1,3,finalidad_objetivo,seleccionar_correcta,Los valores superiores mencionados en el artículo 1.1 pertenecen:,Al ordenamiento jurídico.,A la organización territorial.,Al sistema electoral.,A la Corona.,A,El artículo los identifica como valores superiores del ordenamiento jurídico.,"España se constituye en un Estado social y democrático de Derecho... libertad, justicia, igualdad y pluralismo político; la soberanía nacional reside en el pueblo español; la forma política es la Monarquía parlamentaria.",finalidad_objetivo,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-022,1,3,verdadera_falsa_en_artículo,seleccionar_correcta,¿Cuál es la formulación más fiel al artículo 1.1?,"España se organiza como Estado social, democrático y autonómico.",España se constituye en un Estado social y democrático de Derecho.,España es una Nación social y democrática sometida al Derecho.,El Estado español se constituye como Monarquía social y democrática.,B,Es la redacción exacta del primer inciso.,"España se constituye en un Estado social y democrático de Derecho... libertad, justicia, igualdad y pluralismo político; la soberanía nacional reside en el pueblo español; la forma política es la Monarquía parlamentaria.",verdadera_falsa_en_artículo,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-023,2,2,literal_con_hueco,seleccionar_correcta,La Constitución se fundamenta en:,La unión voluntaria de las Comunidades Autónomas.,La soberanía compartida de nacionalidades y regiones.,La indisoluble unidad de la Nación española.,La autonomía política de los territorios históricos.,C,Es el fundamento expresamente proclamado.,"La Constitución se fundamenta en la indisoluble unidad de la Nación española, patria común e indivisible de todos los españoles, y reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que la integran y la solidaridad entre todas ellas.",literal_con_hueco,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-024,2,2,literal_con_hueco,seleccionar_correcta,La Nación española es definida como:,Estado común y descentralizado de todos los ciudadanos.,Patria plural y divisible de las nacionalidades.,Comunidad política de las regiones autónomas.,Patria común e indivisible de todos los españoles.,D,El artículo usa esa fórmula literal.,"La Constitución se fundamenta en la indisoluble unidad de la Nación española, patria común e indivisible de todos los españoles, y reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que la integran y la solidaridad entre todas ellas.",literal_con_hueco,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-025,2,2,derecho_deber_o_garantía,seleccionar_correcta,El artículo 2 reconoce y garantiza el derecho:,A la autonomía de las nacionalidades y regiones.,A la soberanía de las Comunidades Autónomas.,A la autodeterminación de las nacionalidades.,A la independencia de las regiones históricas.,A,El derecho reconocido es la autonomía.,"La Constitución se fundamenta en la indisoluble unidad de la Nación española, patria común e indivisible de todos los españoles, y reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que la integran y la solidaridad entre todas ellas.",derecho_deber_o_garantía,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-026,2,2,pertenencia_lista,seleccionar_correcta,¿Entre quiénes garantiza el artículo 2 la solidaridad?,Entre el Estado y las provincias.,Entre todas las nacionalidades y regiones.,Entre todos los poderes públicos.,Entre las Comunidades Autónomas y los municipios.,B,El texto dice «entre todas ellas».,"La Constitución se fundamenta en la indisoluble unidad de la Nación española, patria común e indivisible de todos los españoles, y reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que la integran y la solidaridad entre todas ellas.",pertenencia_lista,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-027,2,3,verdadera_falsa_en_artículo,seleccionar_incorrecta,"Según el artículo 2, señale la afirmación INCORRECTA:",La Nación española es patria común e indivisible.,Se reconoce el derecho a la autonomía de nacionalidades y regiones.,La Constitución reconoce el derecho de autodeterminación de las nacionalidades.,Se garantiza la solidaridad entre todas ellas.,C,"El precepto reconoce autonomía, no autodeterminación.","La Constitución se fundamenta en la indisoluble unidad de la Nación española, patria común e indivisible de todos los españoles, y reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que la integran y la solidaridad entre todas ellas.",verdadera_falsa_en_artículo,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-028,2,2,literal_con_hueco,seleccionar_correcta,Complete: «la indisoluble unidad de la Nación española...»,Patria histórica y plural de todos los ciudadanos.,Comunidad política de nacionalidades y regiones.,Estado común de todos los territorios.,Patria común e indivisible de todos los españoles.,D,Completa literalmente el inciso.,"La Constitución se fundamenta en la indisoluble unidad de la Nación española, patria común e indivisible de todos los españoles, y reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que la integran y la solidaridad entre todas ellas.",literal_con_hueco,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-029,2,2,literal_con_hueco,seleccionar_correcta,Complete: «reconoce y garantiza el derecho a...»,La autonomía de las nacionalidades y regiones.,La soberanía de los territorios autónomos.,La federación de nacionalidades y regiones.,La libre determinación de los pueblos.,A,El derecho es a la autonomía.,"La Constitución se fundamenta en la indisoluble unidad de la Nación española, patria común e indivisible de todos los españoles, y reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que la integran y la solidaridad entre todas ellas.",literal_con_hueco,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-030,2,3,literal_con_hueco,seleccionar_correcta,Complete el final del artículo 2: «...y la solidaridad...»,Entre todos los ciudadanos.,Entre todas ellas.,Entre los poderes públicos.,Entre el Estado y las Comunidades Autónomas.,B,La referencia es a nacionalidades y regiones.,"La Constitución se fundamenta en la indisoluble unidad de la Nación española, patria común e indivisible de todos los españoles, y reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que la integran y la solidaridad entre todas ellas.",literal_con_hueco,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-031,2,3,pertenencia_lista,seleccionar_incorrecta,¿Qué concepto NO aparece en el artículo 2?,Unidad.,Autonomía.,Federalismo.,Solidaridad.,C,El federalismo no aparece en el tenor literal.,"La Constitución se fundamenta en la indisoluble unidad de la Nación española, patria común e indivisible de todos los españoles, y reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que la integran y la solidaridad entre todas ellas.",pertenencia_lista,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-032,2,3,permutación_relacional,seleccionar_correcta,¿Cuál de las siguientes relaciones es correcta según el artículo 2?,Nacionalidades — soberanía propia.,Regiones — independencia política.,Solidaridad — únicamente territorios menos favorecidos.,Nación española — unidad indisoluble.,D,La unidad indisoluble califica a la Nación española.,"La Constitución se fundamenta en la indisoluble unidad de la Nación española, patria común e indivisible de todos los españoles, y reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que la integran y la solidaridad entre todas ellas.",permutación_relacional,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-033,2,3,verdadera_falsa_en_artículo,seleccionar_correcta,Señale la afirmación correcta conforme al artículo 2:,La autonomía se reconoce a las nacionalidades y regiones que integran la Nación española.,La autonomía se reconoce exclusivamente a las Comunidades Autónomas ya constituidas.,La solidaridad se garantiza únicamente entre regiones.,La Nación española se define como divisible.,A,Es la relación prevista por el artículo.,"La Constitución se fundamenta en la indisoluble unidad de la Nación española, patria común e indivisible de todos los españoles, y reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que la integran y la solidaridad entre todas ellas.",verdadera_falsa_en_artículo,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-034,2,4,discriminación_multirregla,seleccionar_correcta,¿Qué opción sintetiza correctamente el artículo 2?,"Soberanía territorial, federación voluntaria y solidaridad estatal.","Unidad indisoluble, autonomía de nacionalidades y regiones y solidaridad entre todas ellas.","Unidad administrativa, autonomía provincial y cooperación municipal.","Independencia regional, pluralidad nacional y solidaridad económica.",B,Recoge los tres ejes del precepto.,"La Constitución se fundamenta en la indisoluble unidad de la Nación española, patria común e indivisible de todos los españoles, y reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que la integran y la solidaridad entre todas ellas.",discriminación_multirregla,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-035,2,3,literal_con_hueco,seleccionar_correcta,La Constitución reconoce y garantiza la autonomía de las nacionalidades y regiones:,Que hayan aprobado Estatuto de Autonomía.,Que tengan identidad histórica.,Que integran la Nación española.,Que sean reconocidas por ley orgánica.,C,El texto las identifica por su integración en la Nación.,"La Constitución se fundamenta en la indisoluble unidad de la Nación española, patria común e indivisible de todos los españoles, y reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que la integran y la solidaridad entre todas ellas.",literal_con_hueco,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-036,2,3,verdadera_falsa_en_artículo,seleccionar_incorrecta,"Según el artículo 2, ¿cuál de estas expresiones es INCORRECTA?",Unidad indisoluble de la Nación española.,Derecho a la autonomía de nacionalidades y regiones.,Solidaridad entre todas ellas.,Patria común y divisible de todos los españoles.,D,El artículo dice «indivisible».,"La Constitución se fundamenta en la indisoluble unidad de la Nación española, patria común e indivisible de todos los españoles, y reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que la integran y la solidaridad entre todas ellas.",verdadera_falsa_en_artículo,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-037,2,3,localización_normativa,seleccionar_correcta,"¿En qué artículo del Título Preliminar se proclaman conjuntamente unidad, autonomía y solidaridad?",En el artículo 2.,En el artículo 1.,En el artículo 4.,En el artículo 9.,A,Los tres principios aparecen en el artículo 2.,"La Constitución se fundamenta en la indisoluble unidad de la Nación española, patria común e indivisible de todos los españoles, y reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que la integran y la solidaridad entre todas ellas.",localización_normativa,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-038,2,3,verdadera_falsa_en_artículo,seleccionar_correcta,¿Cuál es el sujeto del verbo «se fundamenta» en el artículo 2?,La Nación española.,La Constitución.,El Estado.,La soberanía nacional.,B,El precepto comienza «La Constitución se fundamenta...».,"La Constitución se fundamenta en la indisoluble unidad de la Nación española, patria común e indivisible de todos los españoles, y reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que la integran y la solidaridad entre todas ellas.",verdadera_falsa_en_artículo,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-039,3,1,literal_con_hueco,seleccionar_correcta,La lengua española oficial del Estado es:,El español.,El castellano y las demás lenguas españolas.,El castellano.,La lengua determinada por ley orgánica.,C,El artículo 3.1 identifica al castellano.,El castellano es la lengua española oficial del Estado. Todos los españoles tienen el deber de conocerla y el derecho a usarla. Las demás lenguas españolas serán también oficiales en las respectivas Comunidades Autónomas de acuerdo con sus Estatutos. La riqueza de las distintas modalidades lingüísticas de España es un patrimonio cultural objeto de especial respeto y protección.,literal_con_hueco,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-040,3,2,permutación_relacional,seleccionar_correcta,"Respecto del castellano, todos los españoles tienen:",El derecho a conocerlo y el deber de usarlo.,El deber de hablarlo y el derecho a estudiarlo.,El derecho y el deber de emplearlo.,El deber de conocerlo y el derecho a usarlo.,D,La relación literal es deber de conocer y derecho a usar.,El castellano es la lengua española oficial del Estado. Todos los españoles tienen el deber de conocerla y el derecho a usarla. Las demás lenguas españolas serán también oficiales en las respectivas Comunidades Autónomas de acuerdo con sus Estatutos. La riqueza de las distintas modalidades lingüísticas de España es un patrimonio cultural objeto de especial respeto y protección.,permutación_relacional,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-041,3,2,condición_excepción,seleccionar_correcta,Las demás lenguas españolas serán también oficiales:,"En las respectivas Comunidades Autónomas, de acuerdo con sus Estatutos.","En todo el Estado, de acuerdo con una ley orgánica.","En las provincias donde sean mayoritarias, por acuerdo del Gobierno.",En los municipios que las declaren oficiales.,A,La cooficialidad depende del territorio y del Estatuto.,El castellano es la lengua española oficial del Estado. Todos los españoles tienen el deber de conocerla y el derecho a usarla. Las demás lenguas españolas serán también oficiales en las respectivas Comunidades Autónomas de acuerdo con sus Estatutos. La riqueza de las distintas modalidades lingüísticas de España es un patrimonio cultural objeto de especial respeto y protección.,condición_excepción,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-042,3,2,finalidad_objetivo,seleccionar_correcta,La riqueza de las modalidades lingüísticas de España se considera:,Un valor superior del ordenamiento.,Un patrimonio cultural.,Un derecho fundamental.,Una competencia exclusiva autonómica.,B,El artículo 3.3 la define como patrimonio cultural.,El castellano es la lengua española oficial del Estado. Todos los españoles tienen el deber de conocerla y el derecho a usarla. Las demás lenguas españolas serán también oficiales en las respectivas Comunidades Autónomas de acuerdo con sus Estatutos. La riqueza de las distintas modalidades lingüísticas de España es un patrimonio cultural objeto de especial respeto y protección.,finalidad_objetivo,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-043,3,2,consecuencia_jurídica,seleccionar_correcta,Ese patrimonio cultural será objeto de:,Promoción obligatoria y uso preferente.,Regulación estatal exclusiva.,Especial respeto y protección.,Protección judicial reforzada.,C,Es la consecuencia prevista en el artículo 3.3.,El castellano es la lengua española oficial del Estado. Todos los españoles tienen el deber de conocerla y el derecho a usarla. Las demás lenguas españolas serán también oficiales en las respectivas Comunidades Autónomas de acuerdo con sus Estatutos. La riqueza de las distintas modalidades lingüísticas de España es un patrimonio cultural objeto de especial respeto y protección.,consecuencia_jurídica,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
