question_id,norm_code,norm_title,title,chapter,article,paragraph,difficulty,family,selection_task,statement,option_a,option_b,option_c,option_d,correct_option,explanation,source_excerpt,pattern,option_length_gap,quality_score,quality_flags,verification_status,editorial_audit_status,editorial_rule_version,review_status,source_version,source_url,source_retrieved_at
EACV-TIII-011,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo I,20,3,3,verdadera_falsa_en_artículo,seleccionar_incorrecta,"Según el artículo 20 del Estatuto de Autonomía de la Comunitat Valenciana, señale la afirmación INCORRECTA:",La Sindicatura de Comptes es también una institución de la Generalitat.,L'Acadèmia Valenciana de la Llengua es una institución de la Generalitat.,El Consejo de Estado es una institución propia de la Generalitat.,El Consell Jurídic Consultiu es una institución de la Generalitat.,C,La opción incorrecta altera la regla «la Sindicatura de Comptes».,"Son también instituciones de la Generalitat la Sindicatura de Comptes, el Síndic de Greuges, el Consell Valencià de Cultura, l'Acadèmia Valenciana de la Llengua, el Consell Jurídic Consultiu y el Comité Econòmic i Social.",tres_afirmaciones_completas_válidas_y_una_alterada,1,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-012,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo I,20,3,3,localización_normativa,seleccionar_correcta,¿En qué apartado del artículo 20 del Estatuto se establece que la Sindicatura de Comptes es también una institución de la Generalitat?,Apartado 1.,Apartado 2.,Apartado 4.,Apartado 3.,D,"La regla se encuentra en el artículo 20, apartado 3.","Son también instituciones de la Generalitat la Sindicatura de Comptes, el Síndic de Greuges, el Consell Valencià de Cultura, l'Acadèmia Valenciana de la Llengua, el Consell Jurídic Consultiu y el Comité Econòmic i Social.",localización_de_apartado_o_artículo,0,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-013,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo I,20,3,2,pertenencia_lista,seleccionar_correcta,"Según el artículo 20 del Estatuto de Autonomía de la Comunitat Valenciana, ¿qué institución normativa lingüística figura en el artículo 20.3?",L'Acadèmia Valenciana de la Llengua.,El Instituto Cervantes.,La Real Academia Española.,El Consejo Escolar del Estado.,A,El artículo 20.3 establece: «l'Acadèmia Valenciana de la Llengua».,"Son también instituciones de la Generalitat la Sindicatura de Comptes, el Síndic de Greuges, el Consell Valencià de Cultura, l'Acadèmia Valenciana de la Llengua, el Consell Jurídic Consultiu y el Comité Econòmic i Social.",pregunta_directa_con_sustitución_controlada,2,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-014,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo I,20,3,3,literal_con_hueco,seleccionar_correcta,El artículo 20.3 incluye a:,El Consejo Escolar del Estado.,L'Acadèmia Valenciana de la Llengua.,La Real Academia Española.,El Instituto Cervantes.,B,La formulación correcta se apoya en el inciso: «l'Acadèmia Valenciana de la Llengua».,"Son también instituciones de la Generalitat la Sindicatura de Comptes, el Síndic de Greuges, el Consell Valencià de Cultura, l'Acadèmia Valenciana de la Llengua, el Consell Jurídic Consultiu y el Comité Econòmic i Social.",recuperación_literal_o_conceptual,2,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-015,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo I,20,3,3,verdadera_falsa_en_artículo,seleccionar_incorrecta,"Según el artículo 20 del Estatuto de Autonomía de la Comunitat Valenciana, señale la afirmación INCORRECTA:",L'Acadèmia Valenciana de la Llengua es una institución de la Generalitat.,El Consell Jurídic Consultiu es una institución de la Generalitat.,La Real Academia Española es una institución de la Generalitat.,La Generalitat está constituida por el conjunto de las instituciones de autogobierno de la Comunitat Valenciana.,C,La opción incorrecta altera la regla «l'Acadèmia Valenciana de la Llengua».,"Son también instituciones de la Generalitat la Sindicatura de Comptes, el Síndic de Greuges, el Consell Valencià de Cultura, l'Acadèmia Valenciana de la Llengua, el Consell Jurídic Consultiu y el Comité Econòmic i Social.",tres_afirmaciones_completas_válidas_y_una_alterada,6,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-016,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo I,20,3,3,localización_normativa,seleccionar_correcta,¿En qué apartado del artículo 20 del Estatuto se establece que l'Acadèmia Valenciana de la Llengua es una institución de la Generalitat?,Apartado 1.,Apartado 2.,Apartado 4.,Apartado 3.,D,"La regla se encuentra en el artículo 20, apartado 3.","Son también instituciones de la Generalitat la Sindicatura de Comptes, el Síndic de Greuges, el Consell Valencià de Cultura, l'Acadèmia Valenciana de la Llengua, el Consell Jurídic Consultiu y el Comité Econòmic i Social.",localización_de_apartado_o_artículo,0,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-017,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo I,20,3,2,pertenencia_lista,seleccionar_correcta,"Según el artículo 20 del Estatuto de Autonomía de la Comunitat Valenciana, ¿qué órgano consultivo jurídico figura entre las instituciones de la Generalitat?",El Consell Jurídic Consultiu.,El Consejo General del Poder Judicial.,El Tribunal de Cuentas estatal.,El Consejo Fiscal.,A,El artículo 20.3 establece: «el Consell Jurídic Consultiu».,"Son también instituciones de la Generalitat la Sindicatura de Comptes, el Síndic de Greuges, el Consell Valencià de Cultura, l'Acadèmia Valenciana de la Llengua, el Consell Jurídic Consultiu y el Comité Econòmic i Social.",pregunta_directa_con_sustitución_controlada,3,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-018,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo I,20,3,3,literal_con_hueco,seleccionar_correcta,Entre las instituciones del artículo 20.3 está:,El Consejo Fiscal.,El Consell Jurídic Consultiu.,El Tribunal de Cuentas estatal.,El Consejo General del Poder Judicial.,B,La formulación correcta se apoya en el inciso: «el Consell Jurídic Consultiu».,"Son también instituciones de la Generalitat la Sindicatura de Comptes, el Síndic de Greuges, el Consell Valencià de Cultura, l'Acadèmia Valenciana de la Llengua, el Consell Jurídic Consultiu y el Comité Econòmic i Social.",recuperación_literal_o_conceptual,3,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-019,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo I,20,3,3,verdadera_falsa_en_artículo,seleccionar_incorrecta,"Según el artículo 20 del Estatuto de Autonomía de la Comunitat Valenciana, señale la afirmación INCORRECTA:",El Consell Jurídic Consultiu es una institución de la Generalitat.,La Generalitat está constituida por el conjunto de las instituciones de autogobierno de la Comunitat Valenciana.,El Consejo General del Poder Judicial es una institución de la Generalitat.,"Les Corts, el President y el Consell forman parte de la Generalitat.",C,La opción incorrecta altera la regla «el Consell Jurídic Consultiu».,"Son también instituciones de la Generalitat la Sindicatura de Comptes, el Síndic de Greuges, el Consell Valencià de Cultura, l'Acadèmia Valenciana de la Llengua, el Consell Jurídic Consultiu y el Comité Econòmic i Social.",tres_afirmaciones_completas_válidas_y_una_alterada,6,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-020,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo I,20,3,3,localización_normativa,seleccionar_correcta,¿En qué apartado del artículo 20 del Estatuto se establece que el Consell Jurídic Consultiu es una institución de la Generalitat?,Apartado 1.,Apartado 2.,Apartado 4.,Apartado 3.,D,"La regla se encuentra en el artículo 20, apartado 3.","Son también instituciones de la Generalitat la Sindicatura de Comptes, el Síndic de Greuges, el Consell Valencià de Cultura, l'Acadèmia Valenciana de la Llengua, el Consell Jurídic Consultiu y el Comité Econòmic i Social.",localización_de_apartado_o_artículo,0,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-021,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo II. Les Corts Valencianes o Les Corts,21,1,2,función_competencia,seleccionar_correcta,"Según el artículo 21 del Estatuto de Autonomía de la Comunitat Valenciana, ¿a quién corresponde la potestad legislativa dentro de la Comunitat Valenciana?",Les Corts.,El Consell.,El President de la Generalitat.,El Tribunal Superior de Justicia.,A,El artículo 21.1 establece: «corresponde a Les Corts».,"La potestad legislativa dentro de la Comunitat Valenciana corresponde a Les Corts, que representan al pueblo. Les Corts son inviolables y gozan de autonomía.",pregunta_directa_con_sustitución_controlada,3,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-022,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo II. Les Corts Valencianes o Les Corts,21,1,3,literal_con_hueco,seleccionar_correcta,La potestad legislativa autonómica corresponde a:,El Tribunal Superior de Justicia.,Les Corts.,El President de la Generalitat.,El Consell.,B,La formulación correcta se apoya en el inciso: «corresponde a Les Corts».,"La potestad legislativa dentro de la Comunitat Valenciana corresponde a Les Corts, que representan al pueblo. Les Corts son inviolables y gozan de autonomía.",recuperación_literal_o_conceptual,3,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-023,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo II. Les Corts Valencianes o Les Corts,21,1,3,verdadera_falsa_en_artículo,seleccionar_incorrecta,"Según el artículo 21 del Estatuto de Autonomía de la Comunitat Valenciana, señale la afirmación INCORRECTA:",La potestad legislativa dentro de la Comunitat Valenciana corresponde a Les Corts.,Les Corts representan al pueblo.,La potestad legislativa autonómica corresponde al Consell.,Les Corts son inviolables y gozan de autonomía.,C,La opción incorrecta altera la regla «corresponde a Les Corts».,"La potestad legislativa dentro de la Comunitat Valenciana corresponde a Les Corts, que representan al pueblo. Les Corts son inviolables y gozan de autonomía.",tres_afirmaciones_completas_válidas_y_una_alterada,7,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-024,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo II. Les Corts Valencianes o Les Corts,21,1,3,localización_normativa,seleccionar_correcta,¿En qué apartado del artículo 21 del Estatuto se establece que la potestad legislativa dentro de la Comunitat Valenciana corresponde a Les Corts?,Apartado 2.,Apartado 3.,Apartado 4.,Apartado 1.,D,"La regla se encuentra en el artículo 21, apartado 1.","La potestad legislativa dentro de la Comunitat Valenciana corresponde a Les Corts, que representan al pueblo. Les Corts son inviolables y gozan de autonomía.",localización_de_apartado_o_artículo,0,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-025,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo II. Les Corts Valencianes o Les Corts,21,1,2,representación,seleccionar_correcta,"Según el artículo 21 del Estatuto de Autonomía de la Comunitat Valenciana, ¿a quién representan Les Corts?",Al pueblo.,Al Consell.,A las diputaciones provinciales.,Al Gobierno del Estado.,A,El artículo 21.1 establece: «representan al pueblo».,"La potestad legislativa dentro de la Comunitat Valenciana corresponde a Les Corts, que representan al pueblo. Les Corts son inviolables y gozan de autonomía.",pregunta_directa_con_sustitución_controlada,2,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-026,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo II. Les Corts Valencianes o Les Corts,21,1,3,literal_con_hueco,seleccionar_correcta,Les Corts representan:,Al Gobierno del Estado.,Al pueblo.,A las diputaciones provinciales.,Al Consell.,B,La formulación correcta se apoya en el inciso: «representan al pueblo».,"La potestad legislativa dentro de la Comunitat Valenciana corresponde a Les Corts, que representan al pueblo. Les Corts son inviolables y gozan de autonomía.",recuperación_literal_o_conceptual,2,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-027,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo II. Les Corts Valencianes o Les Corts,21,1,3,verdadera_falsa_en_artículo,seleccionar_incorrecta,"Según el artículo 21 del Estatuto de Autonomía de la Comunitat Valenciana, señale la afirmación INCORRECTA:",Les Corts representan al pueblo.,Les Corts son inviolables y gozan de autonomía.,Les Corts representan exclusivamente al Consell.,Les Corts tienen su sede en el Palacio de los Borja de la ciudad de Valencia.,C,La opción incorrecta altera la regla «representan al pueblo».,"La potestad legislativa dentro de la Comunitat Valenciana corresponde a Les Corts, que representan al pueblo. Les Corts son inviolables y gozan de autonomía.",tres_afirmaciones_completas_válidas_y_una_alterada,11,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-028,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo II. Les Corts Valencianes o Les Corts,21,1,3,localización_normativa,seleccionar_correcta,¿En qué apartado del artículo 21 del Estatuto se establece que les Corts representan al pueblo?,Apartado 2.,Apartado 3.,Apartado 4.,Apartado 1.,D,"La regla se encuentra en el artículo 21, apartado 1.","La potestad legislativa dentro de la Comunitat Valenciana corresponde a Les Corts, que representan al pueblo. Les Corts son inviolables y gozan de autonomía.",localización_de_apartado_o_artículo,0,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-029,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo II. Les Corts Valencianes o Les Corts,21,1,3,garantía_institucional,seleccionar_correcta,"Según el artículo 21 del Estatuto de Autonomía de la Comunitat Valenciana, ¿qué garantías institucionales reconoce el artículo 21.1 a Les Corts?",Inviolables y autónomas.,Jerárquicamente dependientes del Consell.,Temporales y consultivas.,Dependientes del Congreso.,A,El artículo 21.1 establece: «son inviolables y gozan de autonomía».,"La potestad legislativa dentro de la Comunitat Valenciana corresponde a Les Corts, que representan al pueblo. Les Corts son inviolables y gozan de autonomía.",pregunta_directa_con_sustitución_controlada,1,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
